"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluating Cognitive and Affective Intelligent Agent Explanations in a Long-Term Health-Support Application for Children with Type 1 Diabetes","F. Kaptein; J. Broekens; K. Hindriks; M. Neerincx","TU Delft, Van Mourik Broekmanweg 6, Delft, XE, The Netherlands; Leiden University, LIACS, Niels Bohrweg 1, Leiden, CA, The Netherlands; VU, De Boelelaan 1105, Amsterdam, HV, The Netherlands; TNO, Postbus 23, Soesterberg, ZG, The Netherlands","2019 8th International Conference on Affective Computing and Intelligent Interaction (ACII)","9 Dec 2019","2019","","","1","7","Explanation of actions is important for transparency of-, and trust in the decisions of smart systems. Literature suggests that emotions and emotion words - in addition to beliefs and goals - are used in human explanations of behaviour. Furthermore, research in e-health support systems and human-robot interaction stresses the need for studying long-term interaction with users. However, state of the art explainable artificial intelligence for intelligent agents focuses mainly on explaining an agent's behaviour based on the underlying beliefs and goals in short-term experiments. In this paper, we report on a long-term experiment in which we tested the effect of cognitive, affective and lack of explanations on children's motivation to use an e-health support system. Children (aged 6-14) suffering from type 1 diabetes mellitus interacted with a virtual robot as part of the e-health system over a period of 2.5 - 3 months. Children alternated between the three conditions. Agent behaviours that were explained to the children included why 1) the agent asks a certain quiz question; 2) the agent provides a specific tip (a short instruction) about diabetes; or, 3) the agent provides a task suggestion, e.g., play a quiz, or, watch a video about diabetes. Their motivation was measured by counting how often children would follow the agent's suggestion, how often they would continue to play the quiz or ask for an additional tip, and how often they would request an explanation from the system. Surprisingly, children proved to follow task suggestions more often when no explanation was given, while other explanation effects did not appear. This is to our knowledge the first longterm study to report empirical evidence for an agent explanation effect, challenging the next studies to uncover the underlying mechanism.","2156-8111","978-1-7281-3888-6","10.1109/ACII.2019.8925526","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8925526","Explainable AI;Long-term human-agent interaction;Goal-based XAI;Emotions in explanations","Task analysis;Pediatrics;Diabetes;Robots;Artificial intelligence;Intelligent agents;Aging","cognition;cognitive systems;diseases;medical computing;software agents","cognitive intelligent agent explanations;affective intelligent agent explanations;long-term health-support application;children;smart systems;emotion words;e-health support system;human-robot interaction;explainable artificial intelligence;intelligent agents;type 1 diabetes mellitus;e-health system;agent behaviours;task suggestion;agent explanation effect;time 2.5 month to 3.0 month","","3","","29","IEEE","9 Dec 2019","","","IEEE","IEEE Conferences"
"Who Moved My Cheese? Human and Non-human Motion Recognition with WiFi","G. Zhu; C. Wu; X. Zeng; B. Wang; K. J. R. Liu","Department of Electrical and Computer Engineering, University of Maryland, College Park, MD, USA; Department of Computer Science, The University of Hong Kong, Hong Kong SAR, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; Origin Wireless, Inc., Greenbelt, MD, USA; Origin Wireless, Inc., Greenbelt, MD, USA","2022 IEEE 19th International Conference on Mobile Ad Hoc and Smart Systems (MASS)","19 Dec 2022","2022","","","476","484","Recently, an extensive amount of research has focused on indoor intelligent perception applications and systems. However, the performance of these applications can be greatly impacted by the movement of non-human subjects, such as pets, robots, and electrical appliances, making them impractical for mass use. In this paper, we present the first system that passively and unobtrusively distinguishes between moving human and non-human subjects by a single pair of commodity WiFi transceivers, without requiring the subjects to wear any device or move in a restricted area. Our system can detect the moving subjects, extract physically and statistically explainable features of their motion, and distinguish non-human and human movements accordingly. Leveraging the state-of-the-art rich-scattering multi-path model, our system can differentiate human and non-human motion through the wall, even in complex environments. Built on environment-independent features, our system can be applied to new environments without further effort from users. We validate the performance with commodity WiFi in four different buildings on subjects including the pet, vacuum robot, human, and fan. The results show that our system achieves 97.7% recognition accuracy and a 95.7% true positive rate for non-human motion recognition. Furthermore, it achieves 95.2% accuracy for unseen environments without model tuning, demonstrating its accuracy and robustness for ubiquitous use.","2155-6814","978-1-6654-7180-0","10.1109/MASS56207.2022.00073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9973687","WiFi sensing;non-human motion identification;pet recognition;motion recognition","Performance evaluation;Feature extraction;Robot sensing systems;Robustness;Transceivers;Sensors;Indoor environment","feature extraction;human computer interaction;image motion analysis;image recognition;image sequences;mobile robots;object detection;video surveillance;wireless LAN","commodity WiFi transceivers;human movements;indoor intelligent perception applications;moved my cheese;moving subjects;nonhuman motion recognition;nonhuman subjects;passively distinguishes;state-of-the-art rich-scattering multipath model;unobtrusively distinguishes","","","","38","IEEE","19 Dec 2022","","","IEEE","IEEE Conferences"
"Dynamics Modeling of Industrial Robots Using Transformer Networks","M. Trinh; M. Behery; M. Emara; G. Lakemeyer; S. Storms; C. Brecher","Laboratory of Machine Tools, RWTH Aachen University, Aachen, Germany; Knowledge-Based Systems Group, RWTH Aachen University, Aachen, Germany; RWTH Aachen University, Aachen, Germany; Knowledge-Based Systems Group, RWTH Aachen University, Aachen, Germany; Laboratory of Machine Tools, RWTH Aachen University, Aachen, Germany; Laboratory of Machine Tools, RWTH Aachen University, Aachen, Germany","2022 Sixth IEEE International Conference on Robotic Computing (IRC)","24 Jan 2023","2022","","","164","171","Dynamics modeling of industrial robots using analytical models requires the complex identification of relevant parameters such as masses, centers of gravity as well as inertia tensors, which is often prone to error. Deep learning approaches have recently been used as an alternative. Here, the challenge lies not only in learning the temporal dependencies between the data points but also the dependencies between the attributes of each point. Long Short-term Memory networks (LSTMs) have been applied to this problem as the standard architecture for time series processing. However, LSTMs are not able to fully exploit parallellization capabilities that have emerged in the past decade leading to a time consuming training process. Transformer networks (transformers) have recently been introduced to overcome the long training times while learning temporal dependencies in the data. They can be further combined with convolutional layers to learn the dependencies between attributes for multivariate time series problems. In this paper we show that these transformers can be used to accurately learn the dynamics model of a robot. We train and test two variations of transformers, with and without convolutional layers, and compare their results to other models such as vector autoregression, extreme gradient boosting, and LSTM networks. The transformers, especially with convolution, outperformed the other models in terms of performance and prediction accuracy. Finally, the best performing network is evaluated regarding its prediction plausibility using a method from explainable artificial intelligence in order to increase the user’s trust.","","978-1-6654-7260-9","10.1109/IRC55401.2022.00035","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10023562","robot dynamics;time series regression;transformer networks","Training;Analytical models;Tensors;Service robots;Computational modeling;Time series analysis;Predictive models","control engineering computing;convolutional neural nets;deep learning (artificial intelligence);explanation;industrial robots;production engineering computing;recurrent neural nets;robot dynamics;robot programming;time series","convolutional layers;data points;deep learning;explainable artificial intelligence;industrial robot dynamics modeling;long short-term memory networks;LSTM networks;multivariate time series problems;plausibility prediction;temporal dependencies;time series processing;transformer networks","","","","29","IEEE","24 Jan 2023","","","IEEE","IEEE Conferences"
"Robotic Assistance in Radiology: A Covid-19 Scenario","O. S. Ajani; H. Obasekore; B. -Y. Kang; M. Rammohan","Department of Artificial Intelligence, Kyungpook National University, Daegu, South Korea; Department of Robotics and Smart System Engineering, Kyungpook National University, Daegu, South Korea; Department of Robotics and Smart System Engineering, Kyungpook National University, Daegu, South Korea; Department of Artificial Intelligence, Kyungpook National University, Daegu, South Korea","IEEE Access","26 May 2023","2023","11","","49785","49793","During the COVID-19 Pandemic, the need for rapid and reliable alternative COVID-19 screening methods have motivated the development of learning networks to screen COVID-19 patients based on chest radiography obtained from Chest X-ray (CXR) and Computed Tomography (CT) imaging. Although the effectiveness of developed models have been documented, their adoption in assisting radiologists suffers mainly due to the failure to implement or present any applicable framework. Therefore in this paper, a robotic framework is proposed to aid radiologists in COVID-19 patient screening. Specifically, Transfer learning is employed to first develop two well-known learning networks (GoogleNet and SqueezeNet) to classify positive and negative COVID-19 patients based on chest radiography obtained from Chest X-Ray (CXR) and CT imaging collected from three publicly available repositories. A test accuracy of 90.90%, sensitivity and specificity of 94.70% and 87.20% were obtained respectively for SqueezeNet and a test accuracy of 96.40%, sensitivity and specificity of 95.50% and 97.40% were obtained respectively for GoogleNet. Consequently, to demonstrate the clinical usability of the model, it is deployed on the Softbank NAO-V6 humanoid robot which is a social robot to serve as an assistive platform for radiologists. The strategy is an end-to-end explainable sorting of X-ray images, particularly for COVID-19 patients. Laboratory-based implementation of the overall framework demonstrates the effectiveness of the proposed platform in aiding radiologists in COVID-19 screening.","2169-3536","","10.1109/ACCESS.2023.3277526","National Research Foundation (NRF), Korea(grant numbers:BK21 FOUR); Basic Science Research Program through the National Research Foundation of Korea (NRF); Ministry of Education(grant numbers:2021R1I1A3049810); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10129170","Robotic assistance;radiology;COVID-19;deep learning;class activation map;transfer learning","COVID-19;Computed tomography;X-ray imaging;Robots;Transfer learning;Feature extraction;Computational modeling","computerised tomography;deep learning (artificial intelligence);diagnostic radiography;diseases;epidemics;humanoid robots;image classification;learning (artificial intelligence);medical computing;medical image processing;patient diagnosis;radiology;X-ray imaging","chest radiography;Chest X-Ray;Chest X-ray;Computed Tomography imaging;COVID-19 Pandemic;COVID-19 patient screening;covid-19 scenario;CT;CXR;negative COVID-19 patients;positive COVID-19 patients;radiologists;rapid alternative COVID-19 screening methods;reliable alternative COVID-19 screening methods;robotic assistance;robotic framework;sensitivity;Softbank NAO-V6 humanoid robot;test accuracy;Transfer learning;well-known learning networks;X-ray images","","","","39","CCBYNCND","18 May 2023","","","IEEE","IEEE Journals"
"Co-Training an Observer and an Evading Target","A. Brandenburger; F. Hoffmann; A. Charlish",Fraunhofer FKIE; Fraunhofer FKIE; Fraunhofer FKIE,"2021 IEEE 24th International Conference on Information Fusion (FUSION)","2 Dec 2021","2021","","","1","8","Reinforcement learning (RL) is already widely applied to applications such as robotics, but it is only sparsely used in sensor management. In this paper, we apply the popular Proximal Policy Optimization (PPO) approach to a multi-agent UAV tracking scenario. While recorded data of real scenarios can accurately reflect the real world, the required amount of data is not always available. Simulation data, however, is typically cheap to generate, but the utilized target behavior is often naive and only vaguely represents the real world. In this paper, we utilize multi-agent RL to jointly generate protagonistic and antagonistic policies and overcome the data generation problem, as the policies are generated on-the-fly and adapt continuously. This way, we are able to clearly outperform baseline methods and robustly generate competitive policies. In addition, we investigate explainable artificial intelligence (XAI) by interpreting feature saliency and generating an easy-to-read decision tree as a simplified policy.","","978-1-7377497-1-4","10.23919/FUSION49465.2021.9627024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627024","","Training;Adaptation models;Target tracking;Reinforcement learning;Observers;Robot sensing systems;Trajectory","decision trees;learning (artificial intelligence);multi-agent systems;remotely operated vehicles","observer;evading target;reinforcement learning;robotics;sensor management;popular Proximal Policy Optimization approach;PPO;multiagent UAV tracking scenario;simulation data;utilized target behavior;multiagent RL;protagonistic policies;antagonistic policies;data generation problem;clearly outperform baseline methods;competitive policies;simplified policy","","","","26","","2 Dec 2021","","","IEEE","IEEE Conferences"
"AI Crimes: A Classification","F. N. Sibai","College of Computer Engineering and Science, Prince Mohammad Bin Fahd University, Al-Khobar, Saudi Arabia","2020 International Conference on Cyber Security and Protection of Digital Services (Cyber Security)","13 Jul 2020","2020","","","1","8","Intelligent and machine learning systems have infiltrated cyber-physical systems and smart cities with technologies such as internet of things, image processing, robotics, speech recognition, self-driving, and predictive maintenance. To gain user trust, such systems must be transparent and explainable. Regulations are required to control crimes associated with these technologies. Such regulations and legislations depend on the severity of the artificial intelligence (AI) crimes subject to these regulations, and on whether humans and/or intelligent systems are responsible for committing such crimes, and therefore can benefit from a classification tree of AI crimes. The aim of this paper to review prior work in ethics for AI, and classify AI crimes by producing a classification tree to assist in AI crime investigation and regulation.","","978-1-7281-6428-1","10.1109/CyberSecurity49315.2020.9138891","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9138891","AI;classification tree;crimes;ethics;explainable AI;transparency;trust;privacy","Ethics;Smart cities;Legislation;Cyber-physical systems;Regulation;Artificial intelligence;Intelligent systems","computer crime;decision trees;learning (artificial intelligence);pattern classification;police data processing","AI crimes;machine learning systems;cyber-physical systems;smart cities;Internet of Things;image processing;speech recognition;predictive maintenance;user trust;artificial intelligence crimes;intelligent systems;classification tree;self-driving;robotics;control crimes","","","","23","IEEE","13 Jul 2020","","","IEEE","IEEE Conferences"
"Towards Semantic Description of Explainable Machine Learning Workflows","P. I. Nakagawa; L. Ferreira Pires; J. L. Rebelo Moreira; L. Olavo Bonino","University of Twente, Enschede, The Netherlands; University of Twente, Enschede, The Netherlands; University of Twente, Enschede, The Netherlands; University of Twente, Enschede, The Netherlands","2021 IEEE 25th International Enterprise Distributed Object Computing Workshop (EDOCW)","1 Dec 2021","2021","","","236","244","Machine learning (ML) has outperformed humans in many areas, and that is why it has been adopted by a large variety of applications, such as computer vision, speech recognition, and robotics. However, their functioning and the reason why they generated specific results usually are not clear to the user, being often considered as black-boxes. Explainable Artificial Intelligence (XAI) aims to make AI systems results better understandable to humans, enabling the optimization of the learning models and trust by users. Semantic Web Technologies (SWT) has been applied to ML models because they provide semantically interpretable tools and allow reasoning on knowledge bases that can help explain ML systems. Nevertheless, current solutions usually limit their explanations to the logic of the results, lacking the description or explanations of the other steps of the ML process, which can restrict the understanding experience of the user, making it difficult to identify in which step corrections and adjustments should take place. In this paper, we give an overview of XAI and SWT, and discuss the importance of providing a holistic solution, by means of an ontology. This challenge has to be addressed to improve understandability of the whole ML process and explanation process.","2325-6605","978-1-6654-4488-0","10.1109/EDOCW52865.2021.00054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9626306","XAI;Machine Learning;Semantic Web Technologies;Ontology","Semantic Web;Semantics;Knowledge based systems;Machine learning;Speech recognition;Learning (artificial intelligence);Ontologies","artificial intelligence;computer based training;learning (artificial intelligence);ontologies (artificial intelligence);semantic Web;speech recognition;workflow management software","towards semantic description;explainable machine learning;computer vision;speech recognition;robotics;specific results;black-boxes;Explainable Artificial Intelligence;XAI;AI systems results;learning models;Semantic Web Technologies;SWT;ML models;semantically interpretable tools;reasoning;knowledge bases;ML systems;ML process;understanding experience;step corrections;adjustments;understandability;explanation process","","","","29","IEEE","1 Dec 2021","","","IEEE","IEEE Conferences"
"Approximating a deep reinforcement learning docking agent using linear model trees","V. B. Gjærum; E. -L. H. Rørvik; A. M. Lekkas","Department of Engineering Cybernetics, Norwegian University of Science and Technology, Trondheim, Norway; Department of Artificial Intelligence, TrønderEnergi, Trondheim, Norway; Department of Engineering Cybernetics, Norwegian University of Science and Technology, Trondheim, Norway","2021 European Control Conference (ECC)","3 Jan 2022","2021","","","1465","1471","Deep reinforcement learning has led to numerous notable results in robotics. However, deep neural networks (DNNs) are unintuitive, which makes it difficult to understand their predictions and strongly limits their potential for real-world applications due to economic, safety, and assurance reasons. To remedy this problem, a number of explainable AI methods have been presented, such as SHAP and LIME, but these can be either be too costly to be used in real-time robotic applications or provide only local explanations. In this paper, the main contribution is the use of a linear model tree (LMT) to approximate a DNN policy, originally trained via proximal policy optimization(PPO), for an autonomous surface vehicle with five control inputs performing a docking operation. The two main benefits of the proposed approach are: a) LMTs are transparent which makes it possible to associate directly the outputs (control actions, in our case) with specific values of the input features, b) LMTs are computationally efficient and can provide information in real-time. In our simulations, the opaque DNN policy controls the vehicle and the LMT runs in parallel to provide explanations in the form of feature attributions. Our results indicate that LMTs can be a useful component within digital assurance frameworks for autonomous ships.","","978-9-4638-4236-5","10.23919/ECC54610.2021.9655007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9655007","Deep Reinforcement Learning;Explainable Artificial Intelligence;Linear Model Trees;Docking;Berthing;Autonomous Surface Vessel","Economics;Deep learning;Computational modeling;Neural networks;Europe;Reinforcement learning;Real-time systems","learning (artificial intelligence);mobile robots;neural nets;ships","deep reinforcement learning docking agent;linear model tree;numerous notable results;robotics;deep neural networks;real-world applications;economic safety;assurance reasons;explainable AI methods;real-time robotic applications;local explanations;approximate a DNN policy;autonomous surface vehicle;control inputs;docking operation;LMTs;control actions;opaque DNN policy","","","","18","","3 Jan 2022","","","IEEE","IEEE Conferences"
"Autonomous task planning and situation awareness in robotic surgery","M. Ginesi; D. Meli; A. Roberti; N. Sansonetto; P. Fiorini","Department of Computer Science, University of Verona, Verona, Italy; Department of Computer Science, University of Verona, Verona, Italy; Department of Computer Science, University of Verona, Verona, Italy; Department of Computer Science, University of Verona, Verona, Italy; Department of Computer Science, University of Verona, Verona, Italy","2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","10 Feb 2021","2020","","","3144","3150","The use of robots in minimally invasive surgery has improved the quality of standard surgical procedures. So far, only the automation of simple surgical actions has been investigated by researchers, while the execution of structured tasks requiring reasoning on the environment and the choice among multiple actions is still managed by human surgeons. In this paper, we propose a framework to implement surgical task automation. The framework consists of a task-level reasoning module based on answer set programming, a low-level motion planning module based on dynamic movement primitives, and a situation awareness module. The logic-based reasoning module generates explainable plans and is able to recover from failure conditions, which are identified and explained by the situation awareness module interfacing to a human supervisor, for enhanced safety. Dynamic Movement Primitives allow to replicate the dexterity of surgeons and to adapt to obstacles and changes in the environment. The framework is validated on different versions of the standard surgical training peg-and-ring task.","2153-0866","978-1-7281-6212-6","10.1109/IROS45743.2020.9341382","European Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341382","","Training;Semantics;Surgery;Cognition;Trajectory;Task analysis;Standards","logic programming;medical robotics;mobile robots;motion control;path planning;surgery","robotic surgery;minimally invasive surgery;standard surgical procedures;simple surgical actions;structured tasks;human surgeons;surgical task automation;task-level reasoning module;answer set programming;low-level motion;dynamic movement primitives;logic-based reasoning module;situation awareness module;human supervisor;training peg","","18","","33","IEEE","10 Feb 2021","","","IEEE","IEEE Conferences"
"Emergence of human-comparable balancing behaviours by deep reinforcement learning","C. Yang; T. Komura; Z. Li","School of Informatics, The University of Edinburgh, UK; School of Informatics, The University of Edinburgh, UK; School of Informatics, The University of Edinburgh, UK","2017 IEEE-RAS 17th International Conference on Humanoid Robotics (Humanoids)","8 Jan 2018","2017","","","372","377","This paper presents a hierarchical framework based on deep reinforcement learning that naturally acquires control policies that are capable of performing balancing behaviours such as ankle push-offs for humanoid robots, without explicit human design of controllers. Only the reward for training the neural network is specifically formulated based on the physical principles and quantities, and hence explainable. The successful emergence of human-comparable behaviours through the deep reinforcement learning demonstrates the feasibility of using an AI-based approach for humanoid motion control in a unified framework. Moreover, the balance strategies learned by reinforcement learning provides a larger range of disturbance rejection than that of the zero moment point based methods, suggesting a research direction of using learning-based controls to explore the optimal performance.","2164-0580","978-1-5386-4678-6","10.1109/HUMANOIDS.2017.8246900","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8246900","","Pelvis;Torso;Foot;Machine learning;Legged locomotion","control engineering computing;humanoid robots;learning (artificial intelligence);motion control;robot programming","deep reinforcement learning;control policies;humanoid motion control;zero moment point;human-comparable balancing behaviours","","9","","22","IEEE","8 Jan 2018","","","IEEE","IEEE Conferences"
"A Geometric Perspective on Visual Imitation Learning","J. Jin; L. Petrich; M. Dehghan; M. Jagersand","Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada; Department of Computing Science, University of Alberta, Edmonton AB, Canada","2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)","10 Feb 2021","2020","","","5194","5200","We consider the problem of visual imitation learning without human kinesthetic teaching or teleoperation, nor access to an interactive reinforcement learning training environment. We present a geometric perspective to this problem where geometric feature correspondences are learned from one training video and used to execute tasks via visual servoing. Specifically, we propose VGS-IL (Visual Geometric Skill Imitation Learning), an end-to-end geometry-parameterized task concept inference method, to infer globally consistent geometric feature association rules from human demonstration video frames. We show that, instead of learning actions from image pixels, learning a geometry-parameterized task concept provides an explainable and invariant representation across demonstrator to imitator under various environmental settings. Moreover, such a task concept representation provides a direct link with geometric vision based controllers (e.g. visual servoing), allowing for efficient mapping of high-level task concepts to low-level robot actions.","2153-0866","978-1-7281-6212-6","10.1109/IROS45743.2020.9341758","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341758","","Training;Visualization;Optimization methods;Reinforcement learning;Visual servoing;Task analysis;Kernel","geometry;image representation;learning (artificial intelligence);mobile robots;robot vision;telerobotics;video signal processing;visual servoing","visual imitation learning;human kinesthetic teaching;interactive reinforcement learning training environment;geometric feature correspondences;training video;visual servoing;Visual Geometric Skill Imitation Learning;end-to-end geometry-parameterized task concept;globally consistent geometric feature association rules;human demonstration video frames;imitator;task concept representation;geometric vision;high-level task concepts","","8","","45","IEEE","10 Feb 2021","","","IEEE","IEEE Conferences"
"An Empirical Study of Reward Explanations With Human-Robot Interaction Applications","L. Sanneman; J. A. Shah","Massachusetts Institute of Technology, Cambridge, MA, USA; Massachusetts Institute of Technology, Cambridge, MA, USA","IEEE Robotics and Automation Letters","19 Jul 2022","2022","7","4","8956","8963","Explainable AI techniques that describe agent reward functions can enhance human-robot collaboration in a variety of settings. However, in order to effectively explain reward information to humans, it is important to understand the efficacy of different types of explanation techniques in scenarios of varying complexity. In this letter, we compare the performance of a broad range of explanation techniques in scenarios of differing reward function complexity through a set of human-subject experiments. To perform this analysis, we first introduce a categorization of reward explanation information types and then apply a suite of assessments to measure human reward understanding. Our findings indicate that increased reward complexity (in number of features) corresponded to higher workload and decreased reward understanding, while providing direct reward information was an effective approach across reward complexities. We also observed that providing full or near full reward information was associated with increased workload and that providing abstractions of the reward was more effective at supporting reward understanding than other approaches (besides direct information) and was associated with decreased workload and improved subjective assessment in high complexity settings.","2377-3766","","10.1109/LRA.2022.3189441","ARL(grant numbers:W911NF-17-2-0181); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9822391","Human-robot collaboration;human factors and human-in-the-loop;human-centered automation","Robots;Complexity theory;Trajectory;Task analysis;Collaboration;Particle measurements;Decision making","human-robot interaction;learning (artificial intelligence);man-machine systems;multi-agent systems","high complexity settings;reward explanations;human-robot interaction applications;explainable AI techniques;agent reward functions;human-robot collaboration;explanation techniques;varying complexity;differing reward function complexity;human-subject experiments;reward explanation information types;human reward understanding;increased reward complexity;direct reward information;reward complexities;direct information","","3","","32","IEEE","8 Jul 2022","","","IEEE","IEEE Journals"
"Order Matters: Generating Progressive Explanations for Planning Tasks in Human-Robot Teaming","M. Zakershahrak; S. R. Marpally; A. Sharma; Z. Gong; Y. Zhang","School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ; School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ; School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ; School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ; School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe, AZ","2021 IEEE International Conference on Robotics and Automation (ICRA)","18 Oct 2021","2021","","","3751","3757","Prior work on generating explanations in a planning context has focused on providing the rationale behind an AI agent’s decision-making. While these methods offer the right explanations, they fail to heed the cognitive requirement of understanding an explanation from the explainee or human’s perspective. In this work, we set out to address this issue by considering the order for communicating information in an explanation, or the progressiveness of making explanations. Progression is the notion of building complex concepts on simpler ones, which is known to benefit learning. In this work, we investigate a similar effect when an explanation is composed of multiple parts that are communicated sequentially. The challenge here lies in determining the order for receiving different parts of an explanation that would assist in understanding. Given the sequential nature, a formulation based on goal-based MDP is presented. The reward function of this MDP is learned via inverse reinforcement learning based on training data. We evaluated our approach in an escape-room domain to demonstrate its effectiveness. Upon analyzing the results, it revealed that the desired order arises strongly from both domain-dependent and independence features. This result confirmed our expectation that the process of understanding an explanation for planning tasks was progressive and context dependent. We also showed that the explanations generated using the learned rewards achieved better task performance and simultaneously reduced cognitive load. These results shed light on designing explainable robots across various domains.","2577-087X","978-1-7281-9077-8","10.1109/ICRA48506.2021.9561762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9561762","","Automation;Conferences;Decision making;Buildings;Training data;Reinforcement learning;Planning","human-robot interaction;Markov processes;planning (artificial intelligence);robot programming","generating progressive explanations;planning tasks;human-robot teaming;AI agent decision making;goal-based MDP;explainable robots;cognitive load","","2","","30","IEEE","18 Oct 2021","","","IEEE","IEEE Conferences"
"Argumentation-Based Agents that Explain Their Decisions","M. Morveli Espinoza; A. T. Possebom; C. A. Tacla","CPGEI, UTFPR, Curitiba, Brazil; IFPR, Paranavai, Brazil; CPGEI, UTFPR, Curitiba, Brazil","2019 8th Brazilian Conference on Intelligent Systems (BRACIS)","5 Dec 2019","2019","","","467","472","Explainable Artificial Intelligence (XAI) systems, including intelligent agents, must be able to explain their internal decisions, behaviours and reasoning that produce their choices to the humans (or other systems) with which they interact. In this paper, we focus on how an extended model of BDI (Beliefs-Desires-Intentions) agents can be able to generate explanations about their reasoning, specifically, about the goals he decides to commit to. Our proposal is based on argumentation theory, we use arguments to represent the reasons that lead an agent to make a decision and use argumentation semantics to determine acceptable arguments (reasons). We propose two types of explanations: the partial one and the complete one. We apply our proposal to a scenario of rescue robots.","2643-6264","978-1-7281-4253-1","10.1109/BRACIS.2019.00088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8923631","intelligent agents;explainable agency;argumentation","Multi-agent systems;Inference mechanisms;Intelligent agents;Rescue robots;Artificial intelligence;Decision making","inference mechanisms;multi-agent systems","argumentation-based agents;explainable artificial intelligence systems;XAI;intelligent agents;BDI agents;argumentation theory;argumentation semantics;beliefs-desires-intentions agents;rescue robots","","2","","11","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Human-Centered AI using Ethical Causality and Learning Representation for Multi-Agent Deep Reinforcement Learning","J. Ho; C. -M. Wang","Social Networks and Human-Centered Computing Program, Taiwan International Graduate Program; Institute of Information Science, Academia Sinica, Taipei, Taiwan","2021 IEEE 2nd International Conference on Human-Machine Systems (ICHMS)","27 Oct 2021","2021","","","1","6","Human-Centered Computing and AI are two fields devoted to several cross-intersecting interests in the modern AI design. They consider human factors and the machine learning algorithms to enhance compatibility and reliability for human-robot interaction and cooperation. In this work, we propose a novel design concept for the challenging issues that have raised ethical dilemmas; an augmented ethical causality with successor representation for policy gradient models Human-Centered AI with environments. The proposed system leverages Human-Centered AI for using explainable knowledge to construct the ethical causality, and shows it significantly outperformed the statistical approach and baselines alone by further considering meta parametric Human-Centered ethical priorities, when compared to other approaches in the simulated game theory Deep Reinforcement Learning environments. The experimental results aim to efficiently and effectively access the cause, effect and impact of causal inference and multi-agent heterogeneity in the DRL environments for natural, general and significant causal learning representations.","","978-1-6654-0170-8","10.1109/ICHMS53169.2021.9582667","National Taiwan University Hospital; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582667","Multi-Agent Deep Reinforcement Learning;Ethical Causality;Successor Representation;Human-CenteredAI","Ethics;Adaptation models;Statistical learning;Transfer learning;Reinforcement learning;Reliability;Artificial intelligence","game theory;human factors;human-robot interaction;learning (artificial intelligence)","multiagent Deep Reinforcement Learning;Human-Centered Computing;cross-intersecting interests;modern AI design;human factors;compatibility;reliability;human-robot interaction;novel design concept;ethical dilemmas;augmented ethical causality;successor representation;policy gradient models;statistical approach;considering meta parametric Human-Centered ethical priorities;Reinforcement Learning environments;causal inference;natural learning representations;general learning representations;significant causal learning representations","","1","","32","IEEE","27 Oct 2021","","","IEEE","IEEE Conferences"
