"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Conference Paper","Strohkorb Sebo S,Traeger M,Jung M,Scassellati B","The Ripple Effects of Vulnerability: The Effects of a Robot's Vulnerable Behavior on Trust in Human-Robot Teams","","2018","","","178–186","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2018 ACM/IEEE International Conference on Human-Robot Interaction","Chicago, IL, USA","2018","9781450349536","","https://doi.org/10.1145/3171221.3171275;http://dx.doi.org/10.1145/3171221.3171275","10.1145/3171221.3171275","Successful teams are characterized by high levels of trust between team members, allowing the team to learn from mistakes, take risks, and entertain diverse ideas. We investigated a robot's potential to shape trust within a team through the robot's expressions of vulnerability. We conducted a between-subjects experiment (N = 35 teams, 105 participants) comparing the behavior of three human teammates collaborating with either a social robot making vulnerable statements or with a social robot making neutral statements. We found that, in a group with a robot making vulnerable statements, participants responded more to the robot's comments and directed more of their gaze to the robot, displaying a higher level of engagement with the robot. Additionally, we discovered that during times of tension, human teammates in a group with a robot making vulnerable statements were more likely to explain their failure to the group, console team members who had made mistakes, and laugh together, all actions that reduce the amount of tension experienced by the team. These results suggest that a robot's vulnerable behavior can have ""ripple effects"" on their human team members' expressions of trust-related behavior.","trust, the ripple effect, groups and teams, human-robot interaction, social collaboration","","HRI '18"
"Conference Paper","Mahipala D,Parnichkun M","Development and Control of a Ball Riding Robot with a Pitch and Roll Controlled Inverted Pendulum","","2021","","","23–26","Association for Computing Machinery","New York, NY, USA","2021 International Conference on Robotics and Control Engineering","Tokyo, Japan","2021","9781450389471","","https://doi.org/10.1145/3462648.3462653;http://dx.doi.org/10.1145/3462648.3462653","10.1145/3462648.3462653","Ball riding robot is a robot with wheels which tries to balance on a ball by controlling the ball movement. Inverted pendulum is a device which uses an actuating cart to maintain the upright position. In this paper a ball riding robot is equipped with a pitch and roll planar inverted pendulum. Thus, the controller has to balance both ballbot body and the inverted pendulum by relying on the actuated movement of the ball driven by the Ballbot wheels. This paper explains the design and control of this novel dynamics system.","robot balancing, LQR control, ballbot, under-actuated system","","RobCE 2021"
"Conference Paper","Amioka S,Janssens R,Wolfert P,Ren Q,Pinto Bernal MJ,Belpaeme T","Limitations of Audiovisual Speech on Robots for Second Language Pronunciation Learning","","2023","","","359–367","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2023 ACM/IEEE International Conference on Human-Robot Interaction","Stockholm, Sweden","2023","9781450399647","","https://doi.org/10.1145/3568162.3578633;http://dx.doi.org/10.1145/3568162.3578633","10.1145/3568162.3578633","The perception of audiovisual speech plays an important role in infants' first language acquisition and continues to be important for language understanding beyond infancy. Beyond that, the perception of speech and congruent lip motion supports language understanding for adults, and it has been suggested that second language learning benefits from audiovisual speech, as it helps learners distinguish speech sounds in the target language. In this paper, we study whether congruent audiovisual speech on a robot facilitates the learning of Japanese pronunciation. 27 native-Dutch speaking participants were trained in Japanese pronunciation by a social robot. The robot demonstrated 30 Japanese words of varying complexity using either congruent audiovisual speech, incongruent visual speech, or computer-generated audiovisual speech. Participants were asked to imitate the robot's pronunciation, recordings of which were rated by native Japanese speakers. Against expectation, the results showed that congruent audiovisual speech resulted in lower pronunciation performance than low-fidelity or incongruent speech. We show that our learners, being native Dutch speakers, are only very weakly sensitive to audiovisual Japanese speech which possibly explains why learning performance does not seem to benefit from audiovisual speech.","audiovisual speech, robot-assisted language learning, human-robot interaction, orofacial animations, multi-modal interaction","","HRI '23"
"Conference Paper","Nair SS,Sudheer AP,Joy ML","Design and Fabrication of River Cleaning Robot","","2020","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the Advances in Robotics 2019","Chennai, India","2020","9781450366502","","https://doi.org/10.1145/3352593.3352663;http://dx.doi.org/10.1145/3352593.3352663","10.1145/3352593.3352663","Environmental pollution is one of the most severe global threats that require suitable solutions to control air, soil and water pollution. Thus, the implementation of proper and innovative measures is a requisite for controlling pollution. More than two third of earth's crust is covered with water out of which less than 2.5 percent is available for human consumption. This fact makes it serious to check the cases of water pollution. Many of the initiatives are taken to control pollution such as manual and machine-based cleaning which needs human supervision all the time. The need of manual labour for removing waste can hazard the person. Therefore, a robot that cleans the waste autonomously from the water can make a significant impact on pollution control. However, the proper designing of such a robot is a challenging task. In this paper, the design and analysis of a river cleaning robot are explained. The mechanism is designed to perform different applications such as collecting the floating waste, underwater inspection, etc. The robot consists of a frame, cylindrical hull, thrusters and wide arms for waste disposal. The determination of hydrodynamic coefficients using ANSYS fluent solver, hydrodynamic modeling, static structural analysis, buckling analysis of hull and development of prototype are also included in this paper.","Hydrodynamic characteristics, ANSYS FLUENT, Solid Works, River cleaning","","AIR 2019"
"Conference Paper","Hayat AA,Sadanand RO,Saha SK","Robot Manipulation through Inverse Kinematics","","2015","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2015 Conference on Advances In Robotics","Goa, India","2015","9781450333566","","https://doi.org/10.1145/2783449.2783497;http://dx.doi.org/10.1145/2783449.2783497","10.1145/2783449.2783497","Inverse kinematics of a robot is very essential to find the joint variables that satisfy the desired pose of the robot during its manipulation. This is used in controlling the robot position, animation of the robot, etc. In this paper, step-by-step explanation and comparison of two widely used methods, namely, inverse kinematics and Jacobian inverse methods, for robot manipulation are presented. For this purpose a six degrees-of-freedom wrist-partitioned industrial robot KUKA KR5 Arc was used to illustrate the methods. A novel approach has been proposed for selecting the appropriate set of joint angles among the several inverse kinematic solutions. It is based on weight of each link and manipulability. The comparison of these approaches for linear and circular trajectory is presented. Their advantages, limitations, applications, and computations involved are also highlighted.","robot manipulation, inverse kinematics, jacobian, manipulability","","AIR '15"
"Conference Paper","Green HN,Islam MM,Ali S,Iqbal T","Who's Laughing NAO? Examining Perceptions of Failure in a Humorous Robot Partner","","2022","","","313–322","IEEE Press","Sapporo, Hokkaido, Japan","Proceedings of the 2022 ACM/IEEE International Conference on Human-Robot Interaction","","2022","","","","","Social robots are being deployed to interact with people in various scenarios, where they are expected to incorporate human-like conversational strategies to achieve fluency in interactions. For example, current robots are designed to perform advanced communication strategies (i.e., personal anecdotes, explanations, and apologies) to recover from task failure. However, these tactics are not always sufficient for failure recovery as they can be lengthy and insufficient for encouraging future interactions. In human-human interactions, people often use humor as a low-risk and engaging method for managing failures. Thus, the successful execution of advanced, human-like humor could enable robots to recover from task failures more efficiently. In this paper, we present a human-robot interaction study exploring how a robot's utilization of various human-like humor types (i.e., affiliative, aggressive, self-enhancing, and self-defeating) are perceived by human teammate (n=32) and an external observer of the interaction (n=256). Additionally, we have explored the effects of performance, humor type, perspective, and previous experience with robots on the participants' perceptions of warmth, competence, and the robot as a teammate. Our results indicate that dyadic participants rated the successful robot to be more competent and a better teammate than the bystander participants. Additionally, the results indicate that participants with less experience with robots found the successful robot to be more competent than participants with high levels of experience. These findings will enable the human-robot interaction community to develop more engaging robots for fluent interactive experiences in the future.","human-robot interaction, humor, recovery, failure","","HRI '22"
"Conference Paper","Zahedi Z,Verma M,Sreedharan S,Kambhampati S","Trust-Aware Planning: Modeling Trust Evolution in Iterated Human-Robot Interaction","","2023","","","281–289","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2023 ACM/IEEE International Conference on Human-Robot Interaction","Stockholm, Sweden","2023","9781450399647","","https://doi.org/10.1145/3568162.3578628;http://dx.doi.org/10.1145/3568162.3578628","10.1145/3568162.3578628","Trust between team members is an essential requirement for any successful cooperation. Thus, engendering and maintaining the fellow team members' trust becomes a central responsibility for any member trying to not only successfully participate in the task but to ensure the team achieves its goals. The problem of trust management is particularly challenging in mixed human-robot teams where the human and the robot may have different models about the task at hand and thus may have different expectations regarding the current course of action, thereby forcing the robot to focus on the costly explicable behavior. We propose a computational model for capturing and modulating trust in such iterated human-robot interaction settings, where the human adopts a supervisory role. In our model, the robot integrates human's trust and their expectations about the robot into its planning process to build and maintain trust over the interaction horizon. By establishing the required level of trust, the robot can focus on maximizing the team goal by eschewing explicit explanatory or explicable behavior without worrying about the human supervisor monitoring and intervening to stop behaviors they may not necessarily understand. We model this reasoning about trust levels as a meta reasoning process over individual planning tasks. We additionally validate our model through a human subject experiment.","explainable ai, trust-aware decision-making, trustable ai, explicable planning","","HRI '23"
"Conference Paper","Ogasawara A,Gouko M","Stationery Holder Robot That Encourages Office Workers to Tidy Their Desks","","2017","","","439–441","Association for Computing Machinery","New York, NY, USA","Proceedings of the 5th International Conference on Human Agent Interaction","Bielefeld, Germany","2017","9781450351133","","https://doi.org/10.1145/3125739.3132581;http://dx.doi.org/10.1145/3125739.3132581","10.1145/3125739.3132581","To increase efficiency at work, it is important to keep the work space tidy. In this study, we propose a stationery holder robot to improve deskwork efficiency by reducing clutter. The robot is developed based on human-robot interactions, and it vibrates to remind and encourage workers to tidy their desks. First, we explain the concept of the robot and introduce a prototype. Then, we report the results of a preliminary experiment conducted to investigate the participants' intention to tidy up.","human robot interaction","","HAI '17"
"Conference Paper","van Straten CL,Peter J,Kühne R,de Jong C,Barco A","Technological and Interpersonal Trust in Child-Robot Interaction: An Exploratory Study","","2018","","","253–259","Association for Computing Machinery","New York, NY, USA","Proceedings of the 6th International Conference on Human-Agent Interaction","Southampton, United Kingdom","2018","9781450359535","","https://doi.org/10.1145/3284432.3284440;http://dx.doi.org/10.1145/3284432.3284440","10.1145/3284432.3284440","This study aimed to explore technological and interpersonal trust in interactions between children and social robots. Specifically, we focused on whether children distinguish between these two types of trust and whether the two constitute independent constructs or interact. Using an exploratory approach, we analyzed the explanations 87 children, aged 7 to 11 years, offered for the degree to which they indicated to trust a robot with which they had just interacted. Our results suggest that children distinguished between technological and interpersonal trust in a robot. Three main categories of answers could be identified: answers relating to technological trust, those indicating the presence of interpersonal trust, and a third category in which children referred to technological properties of robots as a reason for the existence of interpersonal trust. We discuss these findings in light of the development of child-robot relationships and the design of future child-robot interaction studies.","child-robot relationship formation, child-robot interaction, interpersonal trust, human-robot interaction, technological trust","","HAI '18"
"Journal Article","Norton A,Admoni H,Crandall J,Fitzgerald T,Gautam A,Goodrich M,Saretsky A,Scheutz M,Simmons R,Steinfeld A,Yanco H","Metrics for Robot Proficiency Self-Assessment and Communication of Proficiency in Human-Robot Teams","J.  Hum. -Robot Interact.","2022","11","3","","Association for Computing Machinery","New York, NY, USA","","","2022-07","","","https://doi.org/10.1145/3522579;http://dx.doi.org/10.1145/3522579","10.1145/3522579","As development of robots with the ability to self-assess their proficiency for accomplishing tasks continues to grow, metrics are needed to evaluate the characteristics and performance of these robot systems and their interactions with humans. This proficiency-based human-robot interaction (HRI) use case can occur before, during, or after the performance of a task. This article presents a set of metrics for this use case, driven by a four-stage cyclical interaction flow: (1) robot self-assessment of proficiency (RSA), (2) robot communication of proficiency to the human (RCP), (3) human understanding of proficiency (HUP), and (4) robot perception of the human’s intentions, values, and assessments (RPH). This effort leverages work from related fields including explainability, transparency, and introspection, by repurposing metrics under the context of proficiency self-assessment. Considerations for temporal level (a priori, in situ, and post hoc) on the metrics are reviewed, as are the connections between metrics within or across stages in the proficiency-based interaction flow. This article provides a common framework and language for metrics to enhance the development and measurement of HRI in the field of proficiency self-assessment.","performance evaluation, proficiency self-assessment, metrics, Human-robot interaction","",""
"Conference Paper","Masjutin L,Laing JK,Maier GW","Why Do We Follow Robots? An Experimental Investigation of Conformity with Robot, Human, and Hybrid Majorities","","2022","","","139–146","IEEE Press","Sapporo, Hokkaido, Japan","Proceedings of the 2022 ACM/IEEE International Conference on Human-Robot Interaction","","2022","","","","","Individuals tend to conform to a majority for reasons of peer pressure (normative conformity) and insecurity (informational conformity). It is important to investigate the reasons for social phenomena such as conformity in order to better understand processes in hybrid teams (i.e., teams which consist of humans and robots). Research has yielded conflicting results on conformity with robot and hybrid majorities, and the reasons for conformity remain unclear. We conducted a within-subject online experiment (n = 103) to compare the reasons for conformity under three conditions: human, robot, and hybrid majorities. Results indicate that subjects conformed most often with hybrid majorities, while they conformed least often with robot majorities. Normative conformity influenced conformity with human majorities, but informational conformity did not. Informational conformity influenced conformity with robot majorities, but normative conformity did not. Both types of conformity affected conformity with hybrid majorities. Our results provide a possible explanation for the heterogeneous findings on conformity in HRI","informational conformity, hybrid teams, social processes, asch paradigm, experiment, conformity, normative conformity","","HRI '22"
"Conference Paper","Hu S,Chew E","The Investigation and Novel Trinity Modeling for Museum Robots","","2021","","","21–28","Association for Computing Machinery","New York, NY, USA","Eighth International Conference on Technological Ecosystems for Enhancing Multiculturality","Salamanca, Spain","2021","9781450388504","","https://doi.org/10.1145/3434780.3436541;http://dx.doi.org/10.1145/3434780.3436541","10.1145/3434780.3436541","There have been interactive museum tour-guide robots under investigation since the end of twentieth century. However, those researches are limited to localisations and telepresence with less humanoids deployment or human-touched features. This research used a humanoid robot to develop the first Welsh-based museum robots that can speak bilingual, English and Welsh, addressing the design method, constraints and initial experimental results. This article introduces the definition and development of robots and service robots with three aims: 1) to design and pilot service robots in a public educational environment, National Museum of Wales, Cardiff. This is to develop a semi-autonomous robotic museum programme that can guide and educate visitors, explain exhibits and perform surveys based on a higher level of robot technology platform; 2) to perform voice interaction with the visitors and provides an inquiry and corporate branding services by the robotic programme with initial user experiences inquiry; and 3) to provide educational service robot design recommendation and a novel Trinity conceptual model and design principles to the sector based on the findings from objectives 1 and 2, for preliminary study and research on artificial intelligence in education and social cognition. Case study research method is used to lays a reference for museum robotic research, and it is easy to expand functionally, that is, secondary development; developing an autonomous humanoid robot for museum visit and interactive education.","Nao robot, Museum robot, educational robot, service robot","","TEEM'20"
"Journal Article","Asselborn T,Sharma K,Johal W,Dillenbourg P","Bridging Multilevel Time Scales in HRI: An Analysis Framework","J.  Hum. -Robot Interact.","2019","8","3","","Association for Computing Machinery","New York, NY, USA","","","2019-08","","","https://doi.org/10.1145/3338809;http://dx.doi.org/10.1145/3338809","10.1145/3338809","In this article, we present a multi-level time scales framework for the analysis of human-robot interaction (HRI). Such a framework allows HRI scientists to model the inter-relation between measures and factors of an experiment. Our final goal with the introduction of this framework is to unify scientific practice in the HRI community for better reproducibility. Our new approach transposes Newell’s framework of human actions to model human-robot interaction. Measures from the interaction are sorted into categories (time scales) corresponding to the temporal constraints proposed by Newell. According to this sorting, a bottom-up or top-down analysis can then be performed to correlate variables which allows a better understanding and explanation of the interaction. The utilization of our method within two experimental use cases is then presented. The first one, a child-robot interaction, involves two robots and one child playing a memory game. The second is based on an analysis of the PInSoRo dataset, involving 30 child-robot pairs in a freeplay interaction. Finally, we introduce clear guidelines to re-use the framework.","Newell’s time scale, HRI analysis framework, research reproducibility, multi-level time scale, guideline for variables sorting","",""
"Conference Paper","Craenen BG,Deshmukh A,Foster ME,Vinciarelli A","Shaping Gestures to Shape Personality: Big-Five Traits, Godspeed Scores and the Similarity-Attraction Effect","","2018","","","2221–2223","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","Proceedings of the 17th International Conference on Autonomous Agents and MultiAgent Systems","Stockholm, Sweden","2018","","","","","This paper explores the role of personality as a mediation variable between observable behaviour of a robot - in this case, gestures of different energy and spatial extension - and the experience of its users according to the Godspeed questionnaire, a standard instrument for gathering subjective ratings of human-robot interaction. The results show that the personality traits that the users attribute to a robot are, to a certain extent, predictive of the subjective scores, i.e., of the quality of the interaction they have with it. Furthermore, the experiments show that 15 of the 30 observers involved in the experiments tend to like the robot more when they attribute traits to it that more similar to their own. The observation that only part of the observers display such a tendency - known as similarity-attraction effect - might explain why previous investigations of the same phenomenon have provided contradictory results.","automatic personality synthesis, gestures, godspeed scores, similarity-attraction effect","","AAMAS '18"
"Conference Paper","Kayukawa S,Sato D,Murata M,Ishihara T,Takagi H,Morishima S,Asakawa C","Enhancing Blind Visitor’s Autonomy in a Science Museum Using an Autonomous Navigation Robot","","2023","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems","Hamburg, Germany","2023","9781450394215","","https://doi.org/10.1145/3544548.3581220;http://dx.doi.org/10.1145/3544548.3581220","10.1145/3544548.3581220","Enabling blind visitors to explore museum floors while feeling the facility’s atmosphere and increasing their autonomy and enjoyment are imperative for giving them a high-quality museum experience. We designed a science museum exploration system for blind visitors using an autonomous navigation robot. Blind users can control the robot to navigate them toward desired exhibits while playing short audio descriptions along the route. They can also browse detailed explanations on their smartphones and call museum staff if interactive support is needed. Our real-world user study at a science museum during its opening hour revealed that blind participants could explore the museum safely and independently at their own pace. The study also showed that the sighted visitors who saw the participants walking with the robot accepted the assistive robot well. We finally conducted focus group sessions with the blind participants and discussed further requirements toward a more independent museum experience.","museum, autonomous navigation robot, blind navigation, Visual impairment","","CHI '23"
"Journal Article","Pelikan H,Hofstetter E","Managing Delays in Human-Robot Interaction","ACM Trans.  Comput. -Hum.  Interact.","2022","","","","Association for Computing Machinery","New York, NY, USA","","","2022-10","","1073-0516","https://doi.org/10.1145/3569890;http://dx.doi.org/10.1145/3569890","10.1145/3569890","Delays in the completion of joint actions are sometimes unavoidable. How should a robot communicate that it cannot immediately act or respond in a collaborative task? Drawing on video recordings of a face scanning activity in family homes, we investigate how humans make sense of a Cozmo robot’s delays on a moment-by-moment basis. Cozmo’s sounds and embodied actions are recognized as indicators of delay but encourage human participants to act in ways that undermine the scanning process. In comparing the robot’s delay management strategies with human-human vocal and embodied practices, we demonstrate key differences in the sequences that impact how the robot is understood. The study demonstrates how delay events are accomplished as embodied displays that are distributed across co-participants. We present a framework for making delay transparent through situated explanations, particularly in the form of non-lexical sounds and bodily actions.","system response time, embodiment, engagement, sound, conversation analysis, ethnomethodology, time delay","Just Accepted",""
"Conference Paper","Rakita D,Mutlu B,Gleicher M","Effects of Onset Latency and Robot Speed Delays on Mimicry-Control Teleoperation","","2020","","","519–527","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction","Cambridge, United Kingdom","2020","9781450367462","","https://doi.org/10.1145/3319502.3374838;http://dx.doi.org/10.1145/3319502.3374838","10.1145/3319502.3374838","In this paper, we study the effects of delays in a mimicry-control robot teleoperation interface which involves a user moving their arms to directly show the robot how to move and the robot follows in real time. Unlike prior work considering delays in other teleoperation systems, we consider delays due to robot slowness in addition to latency in the onset of movement commands. We present a human-subjects study that shows how different amounts and types of delays have different effects on task performance. We compare the movements under different delays to reveal the strategies that operators use to adapt to delay conditions and to explain performance differences. Our results show that users can quickly develop strategies to adapt to slowness delays but not onset latency delays. We discuss the implications of our results for the future development of methods designed to mitigate the effects of delays.","teleoperation, motion retargeting, latency analysis","","HRI '20"
"Conference Paper","Moriyama R,Taniguchi A,Serikawa S,Kitazono Y","Proposal of Automatic Sand Catcher Robot of Uniforms","","2023","","","60–64","Association for Computing Machinery","New York, NY, USA","Proceedings of the 9th International Conference on Applied Computing & Information Technology","Virtual Event, USA","2023","9781450397605","","https://doi.org/10.1145/3543895.3543943;http://dx.doi.org/10.1145/3543895.3543943","10.1145/3543895.3543943","Outdoor sports are very often dirty by practicing and playing matches. If you put the uniform that remains dirty in the washing machine as it is when washing such a dirty uniform and move it, sand and dust will get stuck in the washing machine and cause it to break down. Therefore, it is necessary to perform a process of washing down to remove the dirt of the sand attached to the surface by hand before putting it in the washing machine. There are many disadvantages such as rough or dirty hands when such underwashing is done manually. Therefore, we propose a robot that can automatically remove dirt from uniforms. We will explain how to use this robot. First fix the dirty uniform under this robot. Next, bring a small vacuum cleaner fixed to the robot servomotor to the top right of the uniform. Then clean the lower right of the uniform with a vacuum cleaner. By shifting this to the left side, you can remove the sand of the entire uniform. In addition, it is now possible to adjust the strength of the vacuum cleaner by connecting the conductor to the vacuum cleaner running with the battery and applying an appropriate voltage. In addition, it became a mechanism that can save electricity as much as possible by turning on the switch only when attached to the uniform in the program. By using this robot, you can automatically wash down without any disadvantages such as getting your hands dirty. In addition, time, human labor, electricity, etc. can be saved.","small vacuum, sand, uniforms","","ACIT '22"
"Conference Paper","Morimoto D,Even J,Kanda T","Can a Robot Handle Customers with Unreasonable Complaints?","","2020","","","579–587","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction","Cambridge, United Kingdom","2020","9781450367462","","https://doi.org/10.1145/3319502.3374830;http://dx.doi.org/10.1145/3319502.3374830","10.1145/3319502.3374830","The service industry is facing an increase in the number of malicious customers (customers with unreasonable complaints). Employees have reported that handling unreasonable complaints is particularly stressful. Considering the recent push for workplace automation, we should have robots handling this task in place of humans. We propose a robot behavioral model designed for handling unreasonable complaints. The robot with this model has to ""please the customer'' without proposing a settlement. From a large survey of Japanese workers conducted by labor unions and an interview survey of experienced workers we conducted, we identified the conventional complaint handling flow as 1) listen to the complaint, 2) confirm the content of the complaint, 3) apologize, 4) give an explanation, and 5) conclude. The proposed behavioral model is a variation of this flow that takes into account the ""state of mind'' of the customer. In particular, the robot with this model does not leave the first step and keeps asking questions until the customer is ""ready to listen''. We conducted a user study, using a Wizard-of-Oz approach, to compare the proposed behavioral model to a baseline one implementing the conventional flow. We replicated in our laboratory the situation of a customer in a mobile phone shop. The proposed behavioral model was significantly better at making the customers believe that the robot listened to them and tried to help.","user study, customer handling, service robotics","","HRI '20"
"Conference Paper","Jia T,Li C,Guan X,Ji L","Enhancing Engagement during Robot-Assisted Rehabilitation Integrated with Motor Imagery Task","","2019","","","12–16","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2019 International Conference on Intelligent Medicine and Health","Ningbo, China","2019","9781450372862","","https://doi.org/10.1145/3348416.3348420;http://dx.doi.org/10.1145/3348416.3348420","10.1145/3348416.3348420","Stroke remains the most common cause of motor deficits for adults. Enhancing engagement has become the focus of recent research with the aim of improving the efficiency of robot-assisted rehabilitation. Since motor imagery (MI) has the potential to engage the subject, the objective of this study is to explore the influence of complementing robot-assisted rehabilitation with MI during training exercises. An experiment was designed and conducted in which 10 healthy subjects were recruited to participate in two separate sessions. An acoustic-cue-based experimental paradigm was applied in both sessions. In the first session, each patient was required to imagine moving arm after the cue, then the robot device drove the arm during the MI process; while in the second session, the robotic device drove the user to move without requiring the MI tasks. Each session consisted of 20 trails, in which electroencephalogram (EEG) was recorded to analyze the activated brain regions. Analyses showed that the activation of sensorimotor cortex (SM1) was the strongest during passive movement (PM) integrated with MI than either PM or MI alone. The results indicated that robot-assisted training integrated with MI task can enhance the subject's engagement as shown by a stronger event related desynchronization (ERD), which can lead to a stronger stimulation on SM1. This indication can explain why only passive movement driven by robotic device has a low rehabilitation efficiency during clinical practice. The result can also contribute to the understanding of the mechanism underlying the brain computer interface (BCI) supported rehabilitation therapy, which can improve rehabilitation efficiency by closing the loop between the motor intention and sensorimotor feedback.","Motor rehabilitation, sensorimotor feedback, engagement, motor imagery","","ICIMH 2019"
"Conference Paper","Marchesi S,Spatola N,Perez-Osorio J,Wykowska A","Human vs Humanoid. A Behavioral Investigation of the Individual Tendency to Adopt the Intentional Stance","","2021","","","332–340","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2021 ACM/IEEE International Conference on Human-Robot Interaction","Boulder, CO, USA","2021","9781450382892","","https://doi.org/10.1145/3434073.3444663;http://dx.doi.org/10.1145/3434073.3444663","10.1145/3434073.3444663","Humans interpret and predict behavior of others with reference to mental states or, in other words, by adopting the intentional stance. The present study investigated to what extent individuals adopt the intentional stance towards two agents (a humanoid robot and a human). We asked participants to judge whether two different descriptions fit the behaviors of the robot/human displayed in photographic scenarios. We measured acceptance/rejection rate of the descriptions (as an explicit measure) and response times in making the judgment (as an implicit measure). Our results show that at the explicit level, participants are more likely to use mentalistic descriptions for the human agent and mechanistic descriptions for the robot. Interestingly, at the implicit level, we found no difference in response times associated with the robotic agent. We argue that, at the implicit level, both stances are processed as ""equally likely"" to explain the behavior of a humanoid robot, while at the explicit level there is an asymmetry in the adopted stance. Furthermore, cluster analysis on participants' individual differences in anthropomorphism likelihood revealed that people with a high tendency to anthropomorphize tend to accept faster the mentalistic description. This suggests that the decisional process leading to adoption of one or the other stance to adopt is influenced by individual tendency to anthropomorphize non-human agents.","mental states, anthropomorphism, response times, human-robot interaction, intentional stance","","HRI '21"
"Journal Article","Kunold L,Bock N,Rosenthal-von der Pütten A","Not All Robots Are Evaluated Equally: The Impact of Morphological Features on Robots’ Assessment through Capability Attributions","J.  Hum. -Robot Interact.","2023","12","1","","Association for Computing Machinery","New York, NY, USA","","","2023-02","","","https://doi.org/10.1145/3549532;http://dx.doi.org/10.1145/3549532","10.1145/3549532","Favorable assessments of social robots are addressed in several research and development attempts because positive attitudes and intentions towards technology are regarded as a necessary prerequisite for usage. To predict a favorable evaluation, it is inevitable to understand the appraisal process and determine crucial variables that affect the evaluative and behavioral consequences of HRI. Robotic morphology has been identified as one of these variables. In the present work, we expand previous work by demonstrating that capability attributions associated with robots’ morphological features explain variations in evaluations. Based on two large picture-based online studies (Study 1, n = 673; Study 2, n = 586) we show that robots with similar morphological features (e.g., robots with arms and grippers) can be clustered along their assigned capabilities, and that these capabilities (e.g., to manipulate objects) explain evaluations of the robots in terms of acceptance and social attributes (i.e., warmth, competence, and discomfort). We discuss whether these initial assessments are relevant to live interactions and how our results can inform robot design.","Human-robot interaction, morphology, capability attributions, acceptance","",""
"Conference Paper","Khan S,Rabbani MR","Chatbot as Islamic Finance Expert (CaIFE): When Finance Meets Artificial Intelligence","","2021","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2020 4th International Symposium on Computer Science and Intelligent Control","Newcastle upon Tyne, United Kingdom","2021","9781450388894","","https://doi.org/10.1145/3440084.3441213;http://dx.doi.org/10.1145/3440084.3441213","10.1145/3440084.3441213","Artificial intelligence (AI) is the key technology in the new disruptive technological innovation and industrial transformation. AI has very wide application in finance and banking. The financial institutions not only answer the queries of the customers, but they should also clarify the complaints the customer face and provide the solution. For this purpose, many banks and financial institutions are using Chatbot to provide solution to customer complaints and queries. Chatbots are very efficient in providing solution to customers queries and are available 24 hours to give solution to customer's complaints. Finally, we propose an artificial Intelligence based interactive Chatbot called 'Chatbot as Islamic Finance Expert' (CaIFE). Our interactive Chatbot CaIFE receives automatic robot support related to Islamic finance and banking by having users communicate with a robot having knowledge accumulated by machine learning. It answers any query related to Islamic finance and banking on real time basis. It then presents a case study of CaIFE and explains its characteristics and limitations.","NLP, Financial Expert, machine learning, Islamic finance, Artificial Intelligence, Chatbot, Sharia","","ISCSIC 2020"
"Conference Paper","Druga S,Williams R,Park HW,Breazeal C","How Smart Are the Smart Toys? Children and Parents' Agent Interaction and Intelligence Attribution","","2018","","","231–240","Association for Computing Machinery","New York, NY, USA","Proceedings of the 17th ACM Conference on Interaction Design and Children","Trondheim, Norway","2018","9781450351522","","https://doi.org/10.1145/3202185.3202741;http://dx.doi.org/10.1145/3202185.3202741","10.1145/3202185.3202741","Intelligent toys and smart devices are becoming ubiquitous in children's homes. As such, it is imperative to understand how these computational objects impact children's development. Children's attribution of intelligence relates to how they perceive the behavior of these agents [6]. However, their underlying reasoning is not well understood. To explore this, we invited 30 pairs of children (4--10 years old) and their parents to assess the intelligence of mice, robots, and themselves in a maze-solving activity. Participants watched videos of mice and robots solving a maze. Then, they solved the maze by remotely navigating a robot. Solving the maze enabled participants to gain insight into the agent's mind by referencing their own experience. Children and their parents gave similar answers for whether the mouse or the robot was more intelligent and used a wide variety of explanations. We also observed developmental differences in childrens' references to agents' social-emotional attributes, strategies and performance.","intelligence attribution, parental influence, child-agent interaction, child-robot interaction","","IDC '18"
